Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - the feathers emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Feathers.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At The Feathers?,15. Stay At The Feathers In The Future?,16. Recommend The Feathers To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At The Feathers?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Have Breakfast With Us?,28. Where Did You Dine? - Restaurant,29. Where Did You Dine? - Courtyard Gin Bar,30. Where Did You Dine? - Private Dining,31. The Food Was Excellent,32. The Service Was Friendly & Professional,33. The Overall Dining Experience Was Exceptional,34. The Breakfast Was Very Good,35. Do You Have Any Other Comments Regarding Your Dining Experience?,36. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),37. We Were Able To Access The Internet Easily,38. Our Business Meeting Requirements Were Met,39. Do You Have Any Other Comments Regarding The Feathers As A Business Venue?,40. Were Polite And Courteous At All Times,41. Were Attentive To My Needs,42. Made Me Feel Well Looked After,43. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,44. You Were Sad To Leave,45. The Receptionist Was Helpful With Your Checkout,46. The Final Account Was Accurate,47. How Did Your Experience With Us Meet With Your Expectations?,48. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,49. Do You Have Any Further Comments?,50. What Is Your Gender?,51. Which Of The Following Ranges Includes Your Age?,52. Would You Like To Receive Any Further Information From The Feathers Regarding? - Sleep,53. Would You Like To Receive Any Further Information From The Feathers Regarding? - Meetings & Business,54. Would You Like To Receive Any Further Information From The Feathers Regarding? - Wine & Dine,55. Would You Like To Receive Any Further Information From The Feathers Regarding? - Weddings,56. Would You Like To Receive Any Further Information From The Feathers Regarding? - Occassions,57. Would You Like To Receive Any Further Information From The Feathers Regarding? - Events,58. Would You Like To Receive Any Further Information From The Feathers Regarding? - Christmas,59. Would You Like To Receive Any Further Information From The Feathers Regarding? - Special Offers,60. Please Complete The Following (Optional):,61. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
6,Complete,13/11/2013 14:32,Leisure,,,,,,,,,,,Other: Secret Escapes Emailer,Other: ,Good,Maybe,Maybe,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Disagree,Agree,The Bathroom Looked A Little Bare. For A Non Standard Room I Would Have Expected Dressing Gowns  Slippers And More Products.,Yes,Yes,Restaurant,,,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,We Had A Strange Dining Experience. We Ordered The Gin Fusion Menu And The Starter Arrived And Was Fantastic. We Then Waited More Than An Hour For Our Main  With Waiting Staff Giving Mixed Impressions Of Why That Was. One Staff Member Admitted The Main Chef Had Just Walked Out And That Waiting Staff Were Filling In  Which Was Rather Alarming. It Did Explain Our Mains  Which Were Mediocre At Best And Not As Listed On The Menu. When We Asked About This We Got Blank Expressions And No Real Apology. We Were Given An Extra Gin  Without Comment Or Explanation. We Did Ask For The Scallops Which Were Supposed To Accompany The Monkfish And We Did Then Receive These As A Side Between The Main And Dessert. The Desserts Were Fine But Not As Exciting As The Starter.  The Bill Was Not Included Within Our Final Checkout Bill But Wasn't Explained As We Did Query. We Assume It Was Because Of Our Disappointing Experience But It Would Have Been Appreciated If This Was Explained To Us  Rather Than Making Us Ask About Why It Wasn't There Which Wasn't The Most Comfortable Experience.   ,,,,,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Could Have Done Better,,I Think It's Covered Under Dining Experience.,Female,25-34,,,,,,,,,Emily Alexander,... Please Select The Box
28,Complete,07/05/2013 11:46,Business/Meeting,,,,,,,Magazine/Newspaper Article,,,,,Called Direct,Fair,Maybe,No,,Disagree,Agree,Neither Agree Nor Disagree,I Had To Try Several Calls To Book The Private Dining Room  On Arrival Staff Had Differing Views On When We Could Use The Room. The Court Yard Needed Housekeeping Before Opening To Guests. Ordering Wine  Mineral Water And Requesting Menus  Came Slowly And Individually  At These Prices Service Needs To Be More Professional.,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,Yes,No,,,Private Dining,Neither Agree Nor Disagree,Disagree,Disagree,,,Agree,Neither Agree Nor Disagree,Agree,,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Staff Seemed Unsure Of Who Was Responsible For Aspects Of Our Service Requirements.,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Could Have Done Better,,As A Family We Have Used The Feathers For 3 Events  1 Went Well The Latest 2 Fell Short Of Expectation. The Feathers Needs To Provide A More Coherent And Professional Service To Its Customers To Warrant The Prices Being Charged.,Female,,,,,,,,,,Sarah Banham,
49,Complete,14/05/2013 09:59,Leisure,,,,,,,,Organisation Booked,,,Other: Travelzoo,Other: ,Poor,Definitely Not,Definitely Not,,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Resturant Staff Very Surly Especially The Breakfast 'Manager',Neither Agree Nor Disagree,Agree,Agree,,Yes,Yes,,,,Disagree,Disagree,Disagree,Agree,,,,,,Disagree,Disagree,Disagree,,Strongly Disagree,Agree,Agree,Could Have Done Better,Better Staff Training Ie Dirty Plates Left On Table When Serving Next Course Especially At Breakfast,,Male,55-64,,,,,,,,,Mr L Beer,... Please Select The Box
50,Complete,10/05/2013 18:31,Business/Meeting,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Fair,Maybe,Maybe,,Agree,Neither Agree Nor Disagree,Agree,,Neither Agree Nor Disagree,Agree,Agree,Room Was Quite Squashed  With 2 People In  One Of You Was Always In The Way.  Room Very Hot Even With The Window Open.,Yes,Yes,Restaurant,,,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Dinner Was Fine  Not Excellent.  Portions Very Small For Yorkshire Farmers.  Breakfast Was Not Good.  The Food Was Ok  But The Service Was Dreadful.  Table Too Small For 4 People  Know Where To Put Teapot  Side Plates Etc.  We Put The Teapot On Another Table To Give Us More Room And Then The Waiter Took It Away  Asked For It To Come Back.  The Tea Was Extremely Week In Both Pots.  We Had To Ask For Toast Twice. There Was No Jam Or Marmalade Left On The Buffet Table  I Asked If There Was Any More And The Waiter Just Pointed To The Buffet Table.  They Were Not Busy  But Seemed Very Unorganised And Stressed.,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,Neither Agree Nor Disagree,Agree,Disagree,Could Have Done Better,The Staff Need Better Training In The Restaurant.,Small Rooms Need Some Furniture Taking Out So There Is More Room To Walk Round The Room.,Female,45-54,,,,,,,,,R Beevers,... Please Select The Box
51,Complete,11/05/2013 10:26,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Other: Friend Booked On Our Behalf,Poor,Definitely Not,Definitely Not,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,No Problems With Reception Staff,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Would Have Liked Tea/Coffee In Room  Room Far To Hot Even With Window Wide Open  No Means Of Cooling It Down.,Yes,Yes,Restaurant,,,Strongly Disagree,Disagree,Disagree,Strongly Disagree,We Were A Party Of Four And None Of Us Liked The Menu  We Swapped To The Al A Carte And Found This No Better  Had We Seen A Menu Before Booking A Table We Would Have Gone Elsewhere To Eat. Portion Sizes Extremely Small.   The Service At Breakfast Was Abysmal. After Being Seated We Were Not Offered Menus  The Table Was Far Too Small For 4 People  No Room For Tea Pot Etc. We Had To Ask Twice For Toast And When It Did Arrive Is Was Like Shrapnel. We Asked Where We Could Find Jam Etc Having Already Looked On The Breakfast Buffet Table (Where There Was None As The Recepticle For It Was Empty) To Be Told On The Buffet And The Waiter Just Kept Walking Before We Even Had Chance To Say That There Was None There. The Choice On The Buffet Breakfast Was Very Poor. The Cooked Breakfast Was Very Nice. It Was The Service That Was The Problem.,,,,,Disagree,Strongly Disagree,Strongly Disagree,No,Strongly Disagree,Agree,Agree,Could Have Done Better,The Staff Level Either Need Increasing Or A Manager Needs To Be Around To Organise The Staff Better.,I Am Unsure Of The Room Number But We Stayed One Night On The 8Th May. Mr & Mrs Cole. Email Address Sm.Cole@Hotmail.Co.Uk.,Female,55-64,,,,,,,,,Mr & Mrs Cole,
52,Complete,13/08/2013 15:26,Wedding Or Civil Partnership,,,,,Www.Feathers.Co.Uk,,,,,,,Called Direct,Good,Maybe,Yes,,Agree,Agree,Agree,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,I Didn't Stay The Night Only Had Lunch,Yes,No,,,Private Dining,Agree,Disagree,Disagree,Neither Agree Nor Disagree,,,,,,Agree,Disagree,Disagree,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Met,Service Was Very Slow.,,Male,25-34,,,,,,,,,,... Please Select The Box
81,Complete,25/04/2013 10:55,Other: Anniversary,Stayed Previously,,,,,,,,,,,Other: ,Fair,No,No,,Disagree,Strongly Agree,Neither Agree Nor Disagree,Straightforward And Professional,Strongly Agree,Strongly Agree,Agree,Suite 4. Excellent,Yes,Yes,Restaurant,,,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Very Poor. Sancerre Served Warm Tasting Menu Very Poor Fried Eggs At Breakfast Burnt.Service Slow Stilted And Distant. You Need A Good Maitre D.,,,,,Agree,Disagree,Disagree,Barman In Gin-Bar Particularly Surly. Forgot An Expensive Bottle Of Sancerre Served It Warm Ruined Dinner. Is A Gin Bar Much Of An Idea In A Building With Huge Character? Check In Staff Good.,Disagree,Agree,Agree,Could Have Done Better,Feathers Was Renowned For Good Food And In Previous Visits It Lived Up To It. This Visit Came As A Surprise. Tasting Menu Extremely Mediocre....At Least 2 Of The Dishes Were On A Bed Of Spinach...Original! Breakfast No Fruit Juice On Display. Asked For A Mixed Brown And White Toast And Got All White. No Butter . Even I Can Do Fried Eggs Without Burning Them.,What A Disappointment....Hotel Is Lovely But Food Totally Failed To Match It. All Seemed Lacking A Good Manager.,Male,55-64,,,,,,,,,Brander,
126,Complete,25/04/2013 16:32,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Fair,Maybe,No,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,Disagree,Disagree,Neither Agree Nor Disagree,It Was Dark And Rather Depressing. The Temperature Was Unbearably Hot.,Yes,Yes,Restaurant,Courtyard Gin Bar,,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Slow Service&Gt;,,,,,Agree,Disagree,Disagree,,Disagree,Agree,Agree,Could Have Done Better,1St Breakfast In Room (Toast Only And Small Quantity) No Cups Or Spoons And Tea Cold By The Time It Arrived 2Nd Day Had To Chase For Breakfast Twice And Waited For Over An Hour.,I Have Stayed Many Times At The Feathers. This Was The Worst Stay By Some Margin And Was Poor Enough To Consider Whether I Would Come Back Or Try Out Somewhere Else In Oxford. What A Shame.,Female,35-44,,,,,,,,,Allison Carr,
253,Complete,28/02/2013 17:47,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Fair,No,No,,Agree,Agree,Agree,I Was Told That Parking Was Available Outside The Hotel. My Daughter And I Spent Half And Hour Looking For A Parking Space. Although He Was Offered Help With The Cases My Husband Did It Himself And Fell Up The Stairs. Please Ignore Elderly People Who May Have Difficulties With The Steps. Our Room Was Not A Twin And We Were Moved. I Think You Should Be Advised That The First Room Key Also Fitted The Room Next Door.,Agree,Neither Agree Nor Disagree,Strongly Agree,Suite 3. I Found The Hot Towel Rails Were Unfortunately Far Too High To Be Of Any Use For More Than One Towel,Yes,,,,,Agree,Disagree,Disagree,,Our First Evening Was Rather Unfortunate In The Time It Took To Be Given A Menu  Take The Food And Wine Order And Start To Eat. We Also Had To Ask For The Wine Having Already Been Given Our Starters. This Was After We Had The Tasters And The 'Soup'.  The Sunday Breakfast Left A Lot To Be Desired. I Was Unable To Cut Into The Bacon [ Was Given New] The Scrabbled Egg Was Left Uneaten.  The Second Evening We Asked To Eat Earlier [By Half An Hour] To Be Told On Arrival That We Were Early But They Could Accommodate Us. We Ordered The Beef That My Daughter Had The Evening Before But It Was No Way Cooked As It Had Been Previously. I Gave Mine To My Husband.  The Monday Breakfast For My Daughter Was A Joke. She Ordered The Pancakes Only To Be Told They Were Unavailable. She Ordered The French Toast With Maple Syrup And Told Again There Was No Syrup. We Thought That It Was Unusual To Have These On The Menu Yet The Kitchen Could Not Supply Either Of Them.,,,,,Strongly Agree,Neither Agree Nor Disagree,Agree,,Disagree,Agree,Agree,Could Have Done Better,I Think I Have Covered The Areas That We Were Not Happy With,Your Staff Are Helpful  Or As Helpful As They Can Be. And You Do Have A Delightful Hotel.,Female,65+,,,,,,,,,,
266,Complete,18/07/2013 16:27,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Www.Feathers.Co.Uk,Fair,Maybe,Maybe,,Agree,Agree,Agree,,Neither Agree Nor Disagree,Agree,Agree,We Were In Room 42 And It Was Quite Dark  As There Was Only A Relatively Small Window. Not Much You Can Do With The Room Configuration  But We Prefer Brighter Rooms.,Yes,Yes,Restaurant,Courtyard Gin Bar,,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,While The Older Gentleman Who Served Us Was Very Good  The Younger Servers Were A Bit Unattentive And Also Managed To Mix Up At Least One Of Our Orders On Every Meal (Breakfast And Lunch),,,,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,The Older Gentleman Who Served Us At Breakfast And Lunch Was Very Good.,Disagree,Neither Agree Nor Disagree,Disagree,Could Have Done Better,,The Room Was Not Good Value For Money - I.E. It Was Over-Priced. While The Setting Was Pleasant  The Food In The Restaurant Was Over-Priced And Was Often Disappointing. For Example  The Tuna At Lunch Was A Ver Small Portion And Did Not Have Much Flavour.,Male,45-54,,,,,,,,,,
