Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - lewtrenchard manor emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Lewtrenchard.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At Lewtrenchard Manor?,15. Stay At Lewtrenchard Manor In The Future?,16. Recommend Lewtrenchard Manor To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At Lewtrenchard Manor?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Use The Spa Facilities?,28. Where Did You Dine? - Table D’Hôte,29. Where Did You Dine? - Tasting Menu,30. Where Did You Dine? - Bar Menu,31. Where Did You Dine? - Private Dining,32. Where Did You Dine? - Function Room,33. The Food Was Excellent,34. The Service Was Friendly & Professional,35. The Overall Dining Experience Was Exceptional,36. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Dining Venue?,37. Why Did You Visit The Spa At Lewtrenchard Manor?,38. The Staff Were Friendly And Professional,39. The Facilities Were Of A High Standard,40. The Overall Spa Experience Was Exceptional,41. The Quality Of The Treatments Were Of A High Standard,42. Do You Have Any Other Comments Regarding The Spa At Lewtrenchard Manor?,43. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),44. We Were Able To Access The Internet Easily,45. Refreshments Were Delivered As Requested,46. Our Business Meeting Requirements Were Met,47. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Business Venue?,48. Were Polite And Courteous At All Times,49. Were Attentive To My Needs,50. Made Me Feel Well Looked After,51. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,52. You Were Sad To Leave,53. The Final Account Was Accurate,54. How Did Your Experience With Us Meet With Your Expectations?,55. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,56. Do You Have Any Further Comments?,57. What Is Your Gender?,58. Which Of The Following Ranges Includes Your Age?,59. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Special Offers,60. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Accommodation,61. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Restaurant,62. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Weddings,63. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Events,64. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Conferences,65. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Relaxation Therapy,66. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Christmas,67. Please Complete The Following (Optional):,68. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
1,Complete,20/11/2013 14:42,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Yes,Definitely Yes,The Best Hotel I Have Stayed At For Many Years Bar The Ritz In London. The Heating In The St Gertrudes Suite Is Very Noisy During The Night. It Stops You Completely Enjoying What Is A Unique Experience And Kept My Wife Awake Till 0500Hrs. We Both Overslept And Missed Your Amazing Breakfast If Anything Compared With Your Dinner The Night Before. ,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Please See Previous,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Amazing Food Thank You,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Very Polite And Very Helpful,Strongly Agree,Strongly Agree,Exceeded,,,Male,45-54,Special Offers,,,,,,,,Dave Green,
2,Partial,21/11/2013 02:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Complete,21/11/2013 03:12,Private Celebration,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,Magnificent! Hotel  Service And Food Excellent ,Strongly Agree,Strongly Agree,Strongly Agree,No All Fine. ,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,I Eat At Many Top Restaurants In London  Aboard Etc - And Thought The Food  Presentation And Service Exceptional. ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All Of A High Standard. ,Strongly Agree,Strongly Agree,Exceeded,No,,Male,35-44,,,,,Events,,,,Dan Tisdall ,
4,Complete,21/11/2013 03:33,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,We Really Appreciate Getting Away And Relaxing With Good Food And Wine Plus The Added Bonus Of A Really Special Manor Both In Its History And Architectural Value. The Service Of Friendly And Polite Staff Was An Added Bonus. Thank You For A Most Enjoyable Stay Much Appreciated. ,Strongly Agree,Strongly Agree,Strongly Agree,None At All,Agree,Strongly Agree,Agree,St Gertrude Was A Delight The Bath Was Scratched Badly And A Floor Tile Cracked But We Only Stayed One Night So It Was Not An Issue,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All The Team Were A Delight,Strongly Agree,Strongly Agree,Met,No,,Female,55-64,Special Offers,,Restaurant,,,,,,Mr And Mrs Dagworthy,... Please Select The Box
5,Complete,21/11/2013 11:06,Private Celebration,,,,,,,,,,,Lunched Previously,Called Direct,Excellent,Yes,Definitely Yes,Very Relaxed And Attentive.,Strongly Agree,Strongly Agree,Strongly Agree,No,Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Agree,Agree,Agree,An A La Carte Menu Would Have Been Nice And We Were Not Offered A Tasting Menu.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Exceeded,No,No,Male,65+,Special Offers,,Restaurant,,,,,,Mr. R. G. Spiller,
6,Complete,23/11/2013 13:28,Leisure,,Recommendation/Word Of Mouth,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,Relaxed And  Very Comfortable With Excellent Food And Wine,Strongly Agree,Strongly Agree,Strongly Agree,You Were Very Accommodating When I Was Trying To Solve The Problem Of Having A Dog With Us Which We Couldn't Leave In Our Car Or A Dog Cage At Meal Times Because We Were On A Walking Break.,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Disagree,Exceeded,I Am Struggling To Think Of Anything!,,Female,55-64,Special Offers,,Restaurant,,Events,,,Christmas,Jane Ward,... Please Select The Box
7,Complete,25/11/2013 11:12,Leisure,,,,,,,,,,,Times Restaurants Supplement,Called Direct,Excellent,Yes,Definitely Yes,A Hotel Of Character And Tranquility In A Lovely Setting With Extremely Friendly Staff.,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Agree,Exceeded,,,Male,65+,Special Offers,Accommodation,,,,,,,John Triance,
8,Complete,25/11/2013 11:11,Leisure,,,,,,,,,,,Good Food Guide,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,Everything Was Excellent. Friendly Professional Staff. Great Attention To Detail. Food Was Really Good.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,It Was Cold  And We Had To Turn The Electric Radiator On As Well.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No These Comments Apply To All The Staff.,Agree,Agree,Exceeded,Put The Radiator On Before We Arrived.,,Male,65+,Special Offers,,,,Events,,,,Theo Schofield,
9,Complete,26/11/2013 03:58,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Good,Maybe,Maybe,Location Excellent. Food Superb  Service Good  Room Cold,Strongly Agree,Agree,Agree,All Good,Neither Agree Nor Disagree,Agree,Agree,,Yes,,,,,Private Dining,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Agree,Agree,,Neither Agree Nor Disagree,Agree,Met,,,Male,65+,Special Offers,Accommodation,Restaurant,,,,,,Penfold,
10,Complete,28/11/2013 09:40,Leisure,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Www.Lewtrenchard.Co.Uk,Excellent,Definitely Yes,Definitely Yes,We Enjoyed Our Visit Enormously. The Murray Family's Personal Welcome And Very Professional But Charming "Hands On" Approach Was Unique In Our Experience! All The Staff Were Lovely And We Noticed They Are Local Which Is Marvellous. The Manor  Rooms And Gardens Are Absolutely Beautiful And Historically Very Interesting. Everything Is Done To Make The Visitor's Stay As Relaxing And Comfortable As Possible  All Our Meals Were Exceedingly Delicious And Service Was Given With An Attention To Every Detail. ,Strongly Agree,Strongly Agree,Strongly Agree,We Were Impressed That In Parking Outside Our Arrival Was Noticed And Mrs Murray Came To The Door To Welcome Us. This Is Unique In Our Experience. Before Arriving We Also Received An Email Asking If We Had Any Requests Which Is Very Unusual.,Strongly Agree,Strongly Agree,Strongly Agree,Our Suite (Geraldine) Was Beautiful But  As It Was Exceeding Cold Outside  A Little Chilly At Night As It Has Windows On 3 Sides. It Did Have An Additional Portable Radiator But Perhaps Another Is Needed?,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Intimate But Spacious And Beautiful Rooms. ,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Mr And Mrs Murray  Duncan  And Resident Jack Russell For Their Charming Welcome And Good Humour!,Strongly Agree,Strongly Agree,Exceeded,,We Look Forward To Visiting Again - Thank You!,Female,45-54,Special Offers,,,,,,,,Zoe & Tom Trevor,
