Response Id,Status,Completed Date,1. Which Hotel Do You Work For?,2. How Long Have You Worked For Your Hotel?,3. Which Of These Categories Best Describes Your Role?,4. What Is Your Age?,5. Overall  How Do You Rate Your Satisfaction With Your Hotel As A Place To Work  Compared To Other Places You've Worked Previously?,6. Why Are You "Dissatisfied" Or "Extremely Dissatisfied" With Your Hotel As A Place To Work  Compared To Other Places You've Worked Previously?,7. At My Hotel  There Is Open And Honest Two-Way Communication,8. There Are Sufficient Opportunities For Me To Express My Views And Thoughts To Senior Management,9. My Ideas And Opinions Count,10. My Hotel Is Committed To Encouraging A Wide-Range Of Thoughts And Ideas,11. I Receive The Information And Communication I Need To Do My Job Effectively,12. If I Have A Problem I Can Talk To My Manager,13. I Am Kept Informed About The Important Activities Of My Hotel,14. The Leadership Of My Hotel Communicates Well With The Rest Of The Company,15. Do You Have Any Other Comments Regarding Communication At Your Hotel?,16. My Hotel Values My Contribution,17. My Hotel Recognises Productive People,18. I Regularly Receive Praise Or Recognition When I Do Good Work From My Manager,19. In The Last 14 Days  I Received Constructive Feedback On My Work,20. I Understand My Employee Benefits,21. I Am Satisfied With My Employee Benefits,22. I Am Paid Competitively,23. I Can Have A Rewarding Long Term Career With My Hotel,24. Do You Have Any Other Comments Regarding Rewards &Amp; Recognition At Your Hotel?,25. My Hotel Provides Me With Opportunities To Develop,26. My Job Makes Good Use Of My Talents And Abilities,27. I Receive The Training I Need To Do My Job Effectively,28. My Manager Has Focused On My Personal Training Needs,29. My Manager Provides Me With Timely And Helpful Feedback,30. I Have Had A Meaningful Discussion With My Manager About My Career Development,31. In The Last Year  I Have Had Opportunities At Work To Learn And Develop Further My Expertise,32. There Are Sufficient Opportunities For Me To Work In Different Departments In My Hotel,33. My Hotel's Training Helps Create Better Managers And Leaders,34. I Have A Clear Understanding Of What It Takes For Me To Advance At My Hotel,35. Do You Have Any Other Comments Regarding Growth &Amp; Development At Your Hotel?,36. My Hotel Has A Good System For Appraising My Individual Performance,37. My Hotel Takes Seriously The Appraisal Process,38. My Manager Takes Seriously The Appraisal Process,39. My Hotel Has A Good System In Place To Follow Up The Appraisal Process,40. During The Appraisal Process  I Was Able To Express Myself Honestly,41. Do You Have Any Other Comments Regarding Appraisals At Your Hotel?,42. I Know What Is Expected Of Me At Work,43. At Work  I Have The Opportunity To Do What I Do Best,44. I Feel That I Am Part Of My Team,45. I Am Involved In Decisions That Affect My Work,46. My Manager Treats Me With Respect As An Individual,47. I Am Proud To Work For My Hotel,48. If I Left My Hotel I Would Miss It,49. Do You Have Any Other Comments Regarding Involvement &Amp; Belonging At Your Hotel?,50. I Understand My Hotel's Mission Statement,51. I Believe My Hotel Has An Outstanding Future,52. I Understand My Hotel's Strategic Goals,53. I Understand My Hotel's Values,54. I Can See A Clear Link Between My Work And The Strategic Goals Of My Hotel,55. I Feel My Role At My Hotel Is Valued,56. My Manager Effectively Communicates Our Departments Objectives,57. My Manager Has Set Clear Objectives On Which He/She Expects Me To Achieve,58. I Trust The Leadership Of My Hotel,59. My Manager Keeps His/Her Commitments,60. Do You Have Any Other Comments Regarding Future &Amp; Leadership At Your Hotel?,61. My Hotel Has High Performance Standards,62. As A Guest Of My Hotel  I Would Be Extremely Satisfied With The Quality Of The Services I Receive,63. My Hotel Has The Structures And Processes Necessary To Provide Excellent Service Quality,64. My Colleagues Are Committed To Providing High Quality Service,65. I Believe My Hotel Offers Superior Service Versus Our Key Competitors,66. My Hotel Is Communicating The Right Message About Our Hotel To The Outside World,67. My Hotel Is Doing A Good Job Managing Its Public Perception And Reputation,68. My Hotel  During The Last 12 Months  Has Significantly Improved Its Market Presence,69. Do You Have Any Other Comments Regarding Quality &Amp; Image At Your Hotel?,70. Policies And Standards Of Conduct Are Applied Fairly And Consistently At My Hotel,71. I Would Feel Comfortable Reporting A Violation Of My Hotel's Policies Or Standards Of Conduct If I Were To Observe One,72. The Business Policies And Standards Of Conduct Of My Hotel Are Taken Seriously Throughout The Organisation,73. My Hotel Is Committed To Ethical Business Practices And Conduct,74. I Am Aware Of Or Know How To Access My Hotel's Policies And Procedures,75. Do You Have Any Other Comments Regarding Compliance At My Hotel?,76. I Have The Appropriate It Systems And Tools I Need To Do My Job Effectively,77. When It Comes To It  Adequate Resources Are In Place To Address Problems That I Encounter,78. If/When I Have An It Issue  They Are Resolved To My Satisfaction,79. My Hotel Has Effectively Utilised It Systems And Tools To Be More Successful,80. Do You Have Any Other Comments Regarding Technology At My Hotel?,81. My Manager Recognises My Need To Balance Personal Responsibilities And Work Responsibilities,82. I Am Able To Manage My Work Responsibilities In A Way That Allows Me To Maintain An Appropriate Balance Between Home And Work,83. I Believe My Hotel Has A Strong Commitment To Establishing Greater Flexibility In The Work Place,84. Overall  My Workload Is Fair And Reasonable,85. Do You Have Any Other Comments Regarding Work-Life At My Hotel?,86. I Am Encouraged To Develop New And Better Ways Of Doing Things,87. My Team Constantly Strives To Improve The Way We Do Things,88. My Team Is Challenged By Our Manager To Find Ways To Improve Our Service,89. Do You Have Any Other Comments Regarding Innovation At My Hotel?,90. My Team Actively Supports And Encourages Each Other,91. Departments At My Hotel Communicate And Interact With Each Other Effectively,92. There Is A Good Working Relationship Across The Different Departments In My Hotel,93. I Laugh A Lot With The People In My Team,94. Do You Have Any Other Comments Regarding Teamwork At My Hotel?,95. My Hotel Is Committed To Providing Equal Opportunities For All Employees,96. I Believe My Hotel Is Committed To Protecting The Environment,97. My Hotel Takes Health & Safety Seriously,98. My Hotel Is A Safe Environment To Work ,99. My Hotel Is An Enjoyable Place To Work,100. I Have Attended My Hotel's New Employee Induction,101. I Believe My Hotel Will Take The Appropriate Action On The Results Of This Survey,102. Do You Have Any Other Comments Regarding Other At Your Hotel?,103. What One Thing Would You Have Your Hotel Do To Make It More Successful?,104. What Do You Think Are Your Hotel's Strengths Versus Their Key Competitors And/Or Generally?,105. What Do You Think Are Your Hotel's Weaknesses Versus Their Key Competitors And/Or Generally?,106. What Changes Would You Make To Improve The Overall Working Environment?,107. Based On Your General Attitude  Would You Recommend Working For Your Hotel To Others?,108. Do You Have Any Other General Comments  Suggestions And/Or Improvements You Would Like To Make?
1,Complete,19/11/2013 14:27,Sopwell House,1-2 Years,Kitchen,30-39,,For Were The Hotel Should Be It Could Not Be Further Ie: 4Star  Runs Like 1 Star,Disagree,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Don't Know,Strongly Disagree,Don't Know,Its Shocking ,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don't Know,Don't Know,Agree,Agree,Don't Know,,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Don't Know,Agree,Disagree,Strongly Disagree,Disagree,Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never Had One,Agree,Agree,Agree,Don't Know,Agree,Don't Know,Disagree,,Disagree,Don't Know,Don't Know,Don't Know,Don't Know,Agree,Strongly Disagree,Don't Know,Strongly Disagree,Don't Know,,Don't Know,Don't Know,Don't Know,Don't Know,Disagree,Don't Know,Don't Know,Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don't Know,Agree,,Don't Know,Don't Know,Don't Know,Don't Know,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Agree,Disagree,Agree,,Agree,Strongly Disagree,Don't Know,Disagree,,Don't Know,Don't Know,Disagree,Disagree,Strongly Disagree,Don't Know,Strongly Disagree,,Better Working Hours For All Not Just Some,Its Got A Good Base ,Staff Morale,Make The Mangers Work In Each Others Dept To Understand Them,Definitely Not,I Know It All Sounds Really Bad However For Me It All Comes From Communication Which Is Say Bad Every Day Every Day  And Senior Mangers Understanding What Other People Do And There Work Loads.
2,Complete,19/11/2013 14:38,Sopwell House,Less Than 1 Year,Spa,20-29,,,Don't Know,Disagree,Disagree,Don't Know,Don't Know,Don't Know,,Disagree,,Strongly Disagree,Disagree,Don't Know,Disagree,Don't Know,Don't Know,Strongly Disagree,Don't Know,I Don't Feel The Hotel Management And The Hotel As A Company Values It's Employees At All. ,Agree,Agree,Strongly Agree,Agree,Don't Know,Don't Know,Strongly Agree,Don't Know,Don't Know,Don't Know,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Agree,Don't Know,Agree,Disagree,Agree,Don't Know,Disagree,My Direct Managers Are Supportive  But The Hotel Managers Seem Not To Care About The Employees At All.,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Strongly Disagree,Don't Know,Agree,Strongly Disagree,Don't Know,,Don't Know,Agree,Don't Know,Agree,Don't Know,Agree,Agree,Don't Know,,Don't Know,Don't Know,Don't Know,Don't Know,Disagree,,Agree,Agree,Don't Know,Don't Know,,Agree,Agree,Disagree,Don't Know,,Disagree,Don't Know,Don't Know,,Don't Know,Don't Know,Don't Know,Disagree,,Don't Know,Disagree,Agree,,Don't Know,Agree,Don't Know,,Treat The Employees With More Respect And Not Like We're All Expendable Nothings.,,,Higher And Fairer Pay,Don't Know,
3,Partial,19/11/2013 14:19,Sopwell House,5-10 Years,Housekeeping,40-49,,,Disagree,Disagree,Disagree,Disagree,Agree,Don't Know,Don't Know,Don't Know,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Partial,19/11/2013 14:27,Sopwell House,Less Than 1 Year,Groundskeeping,20-29,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No Thank You.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Complete,19/11/2013 15:05,Sopwell House,More Than 10 Years,Other: Rather Not Say,30-39,,,Disagree,Don't Know,Disagree,Don't Know,Don't Know,Strongly Agree,Disagree,Don't Know,,Disagree,Disagree,Agree,Agree,Agree,Don't Know,Disagree,Don't Know,,Agree,Strongly Agree,Agree,Agree,Don't Know,Agree,Agree,Don't Know,Don't Know,Don't Know,,Disagree,Disagree,Agree,Disagree,Agree,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Don't Know,Agree,,Disagree,Agree,Disagree,Don't Know,Don't Know,Disagree,Agree,Don't Know,Don't Know,Agree,,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Agree,,Disagree,Disagree,Don't Know,Don't Know,Don't Know,,Agree,Agree,Agree,Agree,,Strong Agree,Strong Agree,Disagree,Agree,,Strongly Agree,Agree,Agree,,Agree,Disagree,Don't Know,Agree,,Don't Know,Disagree,Don't Know,Agree,Don't Know,Agree,Disagree,It Can Be An Enjoyable Place To Work.,Encourage All Staff To Feel They Are Appreciated And Valued.  Its Very Apparent At The End Of Year Staff Celebrations That The Arch Are More Of A Team Than Sopwell Are.,Our Prices Are More Competitive For The Range Of Services We Offer.,I Feel That Many Of The "Old Timers" Don't Feel As Empowered With The Direction That The Property Is Going In  Somewhat Like Being Left Behind. I Believe A Briefing From Senior Management  Addressing All Staff On What They Want The Property To Be And How They Wish For Us To Get There Would Benefit The Staff.  For Example  We Used To Have Gm Road Shows Which Haven't Had In A Long Time.,I Always Believed In Cross Training/Shadow Training Other Departments So You Can See How Doing Your Own Job Properly Impacts Other Departments.  ,Don't Know,
6,Complete,19/11/2013 15:31,The Arch London,Less Than 1 Year,Management,20-29,,,Agree,Agree,Agree,Agree,Don't Know,Agree,Don't Know,Agree,As A Relatively New Member Of Staff I Would Sometimes Appreciate That Things Are Explained To Me In More Detail.,Agree,Agree,Don't Know,Disagree,Agree,Disagree,Disagree,Disagree,I Believe It's The Small Things That Are Important Like Company Sick Pay  Vouchers  Opportunities To Opt In For Medical And Life Insurance. Most 5* Hotels In London Offer These Kinds Of Benefits,Don't Know,Agree,Disagree,Don't Know,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Again As A Relatively New Member Of The Team I Feel That The Initial Training Could Have Been A Little More Clear And Outlined Both Internally As Well As The Induction. ,Don't Know,Don't Know,Agree,Don't Know,Don't Know,Have Not Done An Appraisal Yet  But So Far It Is Showing Good Intentions,Don't Know,Agree,Agree,Agree,Strongly Agree,Don't Know,Agree,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Don't Know,Agree,Agree,Agree,I Think For The Future The Hotel Needs To Be Clear In Their Vision On What Kind Of Hotel And Where They Want To Go.,Don't Know,Don't Know,Don't Know,Agree,Disagree,Don't Know,Disagree,Don't Know,I Think There A Big Opportunities To Improve The Quality Of Service. The Hotel Has The Teams Commitment Now It Is Up To The Hotel To Show That They Are Willing To Invest. I Think We Could Have A Much Bigger Presence And Have Our Name Out There Much More Than We Have Now.,Agree,Strongly Agree,Don't Know,Don't Know,Don't Know,There Are A Few Policies And Guidelines That Are Not Followed Which Could Jeopardise The Business  This Seems To Have Been Missed. I Am Sure This Is Not Done With Awareness But Hope That It Will Be Looked At.,Don't Know,Don't Know,Don't Know,Don't Know,I Think A More Accessible It Department Would Be Beneficiary,Agree,Agree,Agree,Agree,Very Good,Agree,Don't Know,Agree,I Think We Could Get Better At Hearing The Teams Ideas To Improve Things,Don't Know,Agree,Agree,Agree,,Agree,Agree,Don't Know,Don't Know,Agree,Agree,Agree,,More Investment In The Staff  Ie Benefits  Staff Canteen  Changing Rooms. By Thus Retention May Go Down Which Can Help Maintain Service Levels  Guest Recognition As Well As Cut Costs In The Long Run.,Family Atmosphere  Good Work Life Balance,Investment In Staff Areas  Back Of House Areas. It Provision,Office Set Up,Don't Know,Allow To Have Shoes In The Locker Rooms Outside The Lockers. The Lockers A Very Small And When It Rains Putting Shoes In The Lockers With Clean Clothes In Not Very Nice. Placing Them In A Plastic Bag As Suggested Means That The Shoes Are Still Wet When You Leave Work. Buy L Shaped Lockers  Creates More Space For All.
7,Partial,19/11/2013 16:14,Sopwell House,Less Than 1 Year,Food & Beverage,20-29,,,Agree,Agree,Agree,Agree,Don't Know,Agree,Agree,Agree,,Don't Know,Disagree,Don't Know,Agree,Agree,Don't Know,Disagree,Don't Know,,Don't Know,Don't Know,Disagree,Disagree,Don't Know,Don't Know,Don't Know,Strongly Agree,Disagree,Don't Know,,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Don't Know,Don't Know,Don't Know,Agree,Don't Know,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Don't Know,Disagree,,Agree,Agree,Agree,Agree,Don't Know,Don't Know,Don't Know,Don't Know,,Agree,Disagree,Disagree,Don't Know,Don't Know,,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Complete,19/11/2013 15:33,Sopwell House,Less Than 1 Year,Front Of House,20-29,,This Place Is Lead By Raccomandations And Bribery Employees Try Desperately To Avoid To Work As The Manager  The Most Part Of Them Lack Of Skills And Attitude To The Leadership. The Salary Is Quite Low But The Expectations Are High. ,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don't Know,Don't Know,Don't Know,It Does Not Exist,Disagree,Strongly Disagree,Don't Know,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,If You Had The Right Relationship You Will Make A Good Career  Otherwise You Are Doomed To Be Used And Trashed,Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,As I Said  I Clear Understand That In Order To Advance In My Career I Need: 1)To Have Relationship 2) To Change My Nationality Because People Hate Me Only Because I Am Italian,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,I Made Up My Mind To Express Myself Honestly  Probably They Will Find An Excuse For Fire Me Later..,Disagree,Disagree,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Strongly Disagree,My Manager Cares Only About Him And Try Desperately To Load On My Shoulders All The Tasks. The Day That I Will Leave The Hotel I Will Celebrate,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,In This Hotel There Is No Future For Me  Unless I Change My Nationality And My Way To Behave,Strongly Disagree,Don't Know,Strongly Disagree,Don't Know,Strongly Disagree,Strongly Disagree,Don't Know,Don't Know,The Problem Is Not About The Image  The Real Problem Concerning What Is Behind It,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Don't Know,Disagree,Disagree,Disagree,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,The Right Equation Is Work = Life  Because If You Work In This Hotel You Can Give Up To Your Life,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,I Laugh A Lot With The People In My Team Except With My Manager That He Is The Worst Person That I Ever Met In My Life,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,No Strengths,Only Weaknesses,,Definitely Not,
9,Complete,19/11/2013 15:46,Sopwell House,Less Than 1 Year,Front Of House,20-29,,,Don't Know,Agree,Don't Know,Disagree,Don't Know,Don't Know,Don't Know,Disagree,,Don't Know,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,,Don't Know,Agree,Don't Know,Disagree,Don't Know,Agree,Agree,Agree,Don't Know,Don't Know,,Don't Know,Disagree,Don't Know,Don't Know,Agree,,Agree,Agree,Agree,Agree,Don't Know,Don't Know,Disagree,,Agree,Agree,Agree,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Agree,Don't Know,Don't Know,Agree,Don't Know,Don't Know,Don't Know,Agree,,Don't Know,Agree,Don't Know,Agree,Agree,,Agree,Agree,Agree,Agree,,Agree,Agree,Don't Know,Disagree,,Agree,Agree,Don't Know,,Strongly Agree,Disagree,Disagree,Strongly Agree,,Don't Know,Agree,Agree,Agree,Don't Know,Agree,Don't Know,,,,,,Don't Know,
10,Complete,19/11/2013 16:16,Sopwell House,Less Than 1 Year,Food & Beverage,Under 20,,,Agree,Strongly Agree,Don't Know,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Agree,Don't Know,Don't Know,Don't Know,,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,,Agree,Don't Know,Agree,Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Don't Know,Don't Know,Strongly Agree,,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,,Solve The Language Barrier Between Staff And Guests.,Sky Tv In Every Room  High Quality Food And Service  Top Notch Spa Facilities  Welcoming Staff  And Location.,The Language Barrier Between Staff And Guests  Lack Of Staff At Peak Times  Or Over Staffed When Not Needed (On Occasions). ,,Highly Recommended,
